label,centrality
"[Modification of Library of Congress, 3995]",9.0
"[Modification of Library of Congress, 4318_006]",9.0
"[Modification of Library of Congress, 3968]",9.0
"[Modification of Library of Congress, 4318_001]",9.0
"[Modification of Library of Congress, 4357_005_001]",9.0
"[Book (Library of Congress, 2247)]",9.0
"[Modification of Library of Congress, 4318_003]",9.0
"[Modification of Library of Congress, 3927]",9.0
"[Modification of Library of Congress, 4318_002]",9.0
"[Modification of Library of Congress, 4318_006]",9.0
"[Modification of Library of Congress, 4318_003]",9.0
"[Modification of Library of Congress, 4318_002]",9.0
"[Modification of Library of Congress, 3928]",9.0
"[Modification of Library of Congress, 3928]",9.0
"[Modification of Library of Congress, 3927]",9.0
"[Modification of Library of Congress, 4318_002]",9.0
"[Modification of Library of Congress, 3494]",9.0
"[Modification of Library of Congress, 4053]",9.0
"[Modification of Library of Congress, 3967]",9.0
"[Book (Library of Congress, 529)]",8.4
"[Book (Library of Congress, 4318_001)]",8.2
"[Book (Library of Congress, 4318_003)]",8.2
"[Book (Library of Congress, 4318_002)]",8.2
"[Modification of Library of Congress, 3995]",8.0
"[Modification of Library of Congress, 2561]",8.0
"[Modification of Library of Congress, 3967]",8.0
"[Modification of Library of Congress, 4347_3]",8.0
"[Modification of Library of Congress, 3995]",8.0
"[Modification of Library of Congress, 3994]",8.0
"[Modification of Library of Congress, 3928]",8.0
"[Modification of Library of Congress, 3994]",8.0
"[Modification of Library of Congress, 3994]",8.0
"[Modification of Library of Congress, 1657_001]",8.0
"[Modification of Library of Congress, 2561]",8.0
"[Modification of Library of Congress, 1697]",8.0
"[Modification of Library of Congress, 1697]",8.0
"[Modification of Library of Congress, 4347_3]",8.0
"[Modification of Library of Congress, 2561]",8.0
"[Modification of Library of Congress, 3995]",8.0
"[Modification of Library of Congress, 1697]",8.0
"[Modification of Library of Congress, 1697]",8.0
"[Modification of Library of Congress, 4164]",8.0
"[Modification of Library of Congress, 1697]",8.0
"[Modification of Library of Congress, 2561]",8.0
"[Modification of Library of Congress, 3995]",8.0
"[Book (Library of Congress, 2687)]",8.0
"[Modification of Library of Congress, 2561]",8.0
"[Modification of Library of Congress, 3995]",8.0
"[Modification of Library of Congress, 4240]",8.0
"[Modification of Library of Congress, 1697]",8.0
"[Book (Library of Congress, 1657_001)]",8.0
"[Modification of Library of Congress, 3995]",8.0
"[Modification of Library of Congress, 3966]",8.0
"[Modification of Library of Congress, 4347_3]",8.0
"[Modification of Library of Congress, 3995]",8.0
"[Book (Library of Congress, 3674)]",7.6
"[Book (Library of Congress, 4164)]",7.6
"[Book (Library of Congress, 2561)]",7.4
"[Modification of Library of Congress, 3927]",7.0
"[Book (Library of Congress, 4380)]",7.0
"[Modification of Library of Congress, 1697]",7.0
"[Modification of Library of Congress, 529]",7.0
"[Modification of Library of Congress, 4247]",7.0
"[Modification of Library of Congress, 2247]",7.0
"[Modification of Library of Congress, 4165]",7.0
"[Modification of Library of Congress, 3927]",7.0
"[Modification of Library of Congress, 3494]",7.0
"[Modification of Library of Congress, 4165]",7.0
"[Modification of Library of Congress, 3927]",7.0
"[Modification of Library of Congress, 4265]",7.0
"[Modification of Library of Congress, 1697]",7.0
"[Modification of Library of Congress, 1657_001]",7.0
"[Modification of Library of Congress, 529]",7.0
"[Modification of Library of Congress, 3494]",7.0
"[Modification of Library of Congress, 4265]",6.0
"[Modification of Library of Congress, 3968]",6.0
"[Modification of Library of Congress, 3819]",6.0
