label,centrality
"[Modification of The National Archives, WO 381/11]",3.0
"[Modification of The National Archives, WO 381/11]",3.0
"[Addition to The National Archives, SP 105/207]",3.0
"[Addition to The National Archives, PC 6/15]",3.0
"[Addition to The National Archives, E 36/29]",3.0
"[Modification of The National Archives, SP 104/171]",3.0
"[Modification of The National Archives, CO 31/1]",3.0
"[Bookblock (The National Archives, DL 30/603/2)]",3.0
"[Modification of The National Archives, CRIM 10/28]",3.0
"[Modification of The National Archives, CO 299/89]",3.0
"[Modification of The National Archives, ADM 139/1023]",3.0
"[Modification of The National Archives, RAIL 527/1429]",3.0
"[Modification of The National Archives, CO 31/1]",3.0
"[Modification of The National Archives, ADM 1/5438]",3.0
"[Modification of The National Archives, RAIL 950/17]",3.0
"[Addition to The National Archives, ASSI 41/4]",3.0
"[Modification of The National Archives, ADM 1/5438]",3.0
"[Modification of The National Archives, ADM 42/681]",3.0
"[Modification of The National Archives, WO 381/11]",3.0
"[Addition to The National Archives, SP 104/171]",3.0
"[Modification of The National Archives, CO 31/1]",3.0
"[Modification of The National Archives, PC 6/15]",3.0
"[Addition to The National Archives, SP 104/143]",3.0
"[Modification of The National Archives, ADM 1/2628]",3.0
"[Modification of The National Archives, B 3/5243]",3.0
"[Modification of The National Archives, ADM 42/681]",3.0
"[Addition to The National Archives, DL 30/603/2]",3.0
"[Addition to The National Archives, RAIL 527/1429]",3.0
"[Bookblock (The National Archives, HCA 13/78)]",2.875
"[Bookblock (The National Archives, SP 91/14)]",2.875
"[Bookblock (The National Archives, ADM 139/1025)]",2.875
"[Bookblock (The National Archives, CRIM 10/28)]",2.75
"[Bookblock (The National Archives, CO 5/904)]",2.75
"[Bookblock (The National Archives, E 36/29)]",2.75
"[Bookblock (The National Archives, SP 44/335)]",2.75
"[Bookblock (The National Archives, ASSI 41/4)]",2.75
"[Bookblock (The National Archives, ADM 139/1023)]",2.75
"[Bookblock (The National Archives, ADM 139/1027)]",2.75
"[Bookblock (The National Archives, SP 104/171)]",2.75
"[Bookblock (The National Archives, ADM 42/681)]",2.625
"[Bookblock (The National Archives, FO 802/607)]",2.625
"[Bookblock (The National Archives, FO 802/614)]",2.625
"[Bookblock (The National Archives, ADM 55/32)]",2.625
"[Bookblock (The National Archives, E 36/2)]",2.625
"[Bookblock (The National Archives, ADM 1/5437)]",2.625
"[Bookblock (The National Archives, ADM 55/107)]",2.625
"[Bookblock (The National Archives, PC 6/15)]",2.625
"[Bookblock (The National Archives, SP 105/207)]",2.625
"[Bookblock (The National Archives, ADM 1/2628)]",2.625
"[Bookblock (The National Archives, WO 69/905)]",2.3
"[Bookblock (The National Archives, PRO 30/69/1186)]",2.25
"[Bookblock (The National Archives, SP 71/19)]",2.125
"[Bookblock (The National Archives, ADM 223/31)]",2.125
"[Addition to The National Archives, SP 104/171]",2.0
"[Addition to The National Archives, ADM 37/5039]",2.0
"[Addition to The National Archives, ADM 223/31]",2.0
"[Addition to The National Archives, ADM 139/1023]",2.0
"[Addition to The National Archives, CO 31/1]",2.0
"[Addition to The National Archives, CO 31/1]",2.0
"[Addition to The National Archives, CRIM 10/28]",2.0
"[Addition to The National Archives, T 20/1220]",2.0
"[Addition to The National Archives, DL 30/603/2]",2.0
"[Addition to The National Archives, ADM 37/5039]",2.0
"[Addition to The National Archives, ADM 37/5039]",2.0
"[Addition to The National Archives, SP 104/171]",2.0
"[Addition to The National Archives, SP 24/18]",2.0
"[Addition to The National Archives, ADM 139/1027]",2.0
"[Addition to The National Archives, ADM 55/107]",2.0
"[Addition to The National Archives, ADM 139/1027]",2.0
"[Removal from The National Archives, ADM 139/1027]",2.0
"[Addition to The National Archives, T 20/1220]",2.0
"[Addition to The National Archives, SP 24/18]",2.0
"[Box (The National Archives, ADM 1/5438)]",2.0
"[Addition to The National Archives, SP 44/335]",2.0
"[Addition to The National Archives, ADM 139/1023]",2.0
"[Addition to The National Archives, B 3/5243]",2.0
"[Addition to The National Archives, ADM 1/5437]",2.0
"[Addition to The National Archives, DL 30/603/2]",2.0
"[Addition to The National Archives, ADM 139/1025]",2.0
"[Addition to The National Archives, ADM 139/1025]",2.0
"[Addition to The National Archives, SP 104/171]",2.0
"[Addition to The National Archives, CO 5/904]",2.0
"[Addition to The National Archives, ADM 139/1025]",2.0
"[Addition to The National Archives, ADM 37/5039]",2.0
"[Addition to The National Archives, ADM 55/32]",2.0
"[Addition to The National Archives, RAIL 950/17]",2.0
"[Addition to The National Archives, E 36/29]",2.0
"[Box (The National Archives, ADM 42/681)]",2.0
"[Addition to The National Archives, SP 44/335]",2.0
"[Addition to The National Archives, DL 30/603/2]",2.0
"[Addition to The National Archives, ADM 139/1023]",2.0
"[Addition to The National Archives, T 20/1220]",2.0
"[Addition to The National Archives, T 20/1220]",2.0
"[Addition to The National Archives, ADM 1/5438]",2.0
"[Addition to The National Archives, ADM 139/1027]",2.0
"[Addition to The National Archives, SP 104/171]",2.0
"[Addition to The National Archives, ADM 42/681]",2.0
"[Box (The National Archives, WO 69/905)]",2.0
"[Addition to The National Archives, E 36/29]",2.0
"[Removal from The National Archives, SP 105/207]",2.0
"[Addition to The National Archives, ADM 55/107]",2.0
"[Addition to The National Archives, ADM 139/1023]",2.0
"[Addition to The National Archives, SP 44/335]",2.0
"[Addition to The National Archives, PC 6/15]",2.0
"[Addition to The National Archives, E 36/29]",2.0
"[Addition to The National Archives, SP 24/18]",2.0
"[Addition to The National Archives, ADM 1/5438]",2.0
"[Addition to The National Archives, CRIM 10/28]",2.0
"[Box (The National Archives, ADM 1/5437)]",2.0
"[Addition to The National Archives, SP 44/335]",2.0
"[Addition to The National Archives, ADM 139/1023]",2.0
"[Box (The National Archives, SP 104/143)]",2.0
"[Addition to The National Archives, DL 30/603/2]",2.0
"[Addition to The National Archives, CRIM 10/28]",2.0
"[Addition to The National Archives, ADM 1/5438]",2.0
"[Addition to The National Archives, SP 24/18]",2.0
"[Addition to The National Archives, CRIM 10/28]",2.0
"[Addition to The National Archives, ADM 55/32]",2.0
"[Addition to The National Archives, ADM 37/5039]",2.0
"[Addition to The National Archives, CO 5/904]",2.0
"[Addition to The National Archives, SP 24/18]",2.0
"[Addition to The National Archives, SP 91/14]",2.0
