label,centrality
"[Book (Bodleian, MS. e Mus. 65)]",12.8
"[Modification of Bodleian, Ms.BOM.187]",12.0
"[Removal from Bodleian, G.Pamph.2376]",12.0
"[Modification of Bodleian, G.Pamph.2376]",12.0
"[Modification of Bodleian, G.Pamph.1670]",12.0
"[Removal from Bodleian, Vet.256e.15182]",12.0
"[Modification of Bodleian, Arch.B.c.4]",12.0
"[Removal from Bodleian, Arch.B.c.4]",12.0
"[Modification of Bodleian, 6062]",12.0
"[Modification of Bodleian, C 8 22 Line?]",12.0
"[Modification of Bodleian, 6062]",12.0
"[Modification of Bodleian, G.Pamph.2376]",12.0
"[Modification of Bodleian, Vet.Al.d.39]",12.0
"[Modification of Bodleian, G.Pamph.1670]",12.0
"[Modification of Bodleian, 23197 d1]",12.0
"[Modification of Bodleian, G.Pamph.1670]",12.0
"[Removal from Bodleian, C 8 22 Line?]",12.0
"[Modification of Bodleian, Arch A f 134]",12.0
"[Modification of Bodleian, 23197 d1]",12.0
"[Modification of Bodleian, G.Pamph.2376]",11.0
"[Modification of Bodleian, Ms. Auct. D.4.17]",11.0
"[Addition to Bodleian, Ms. Auct. F.1.14]",11.0
"[Removal from Bodleian, Vet.Al.d.39]",11.0
"[Modification of Bodleian, Arch A f 134]",11.0
"[Removal from Bodleian, Arch A f 134]",10.0
"[Addition to Bodleian, G.Pamph.2589]",10.0
"[Addition to Bodleian, G.Pamph.2376]",10.0
"[Modification of Bodleian, MS. e Mus. 65]",10.0
"[Removal from Bodleian, Arch A f 134]",10.0
"[Addition to Bodleian, G.Pamph.2589]",10.0
"[Modification of Bodleian, 8vo S 188 Art]",10.0
"[Modification of Bodleian, 23197 d1]",10.0
"[Removal from Bodleian, C 8 22 Line?]",10.0
"[Modification of Bodleian, Ms Digby 44]",10.0
"[Removal from Bodleian, MS. e Mus. 65]",10.0
"[Removal from Bodleian, Arch A f 134]",10.0
"[Modification of Bodleian, 6062]",10.0
"[Addition to Bodleian, Vet.256e.15182]",10.0
"[Modification of Bodleian, 6062]",10.0
"[Removal from Bodleian, Arch A f 134]",10.0
"[Modification of Bodleian, AA 106 Art]",10.0
"[Modification of Bodleian, AA 106 Art]",10.0
"[Modification of Bodleian, 23197 d1]",10.0
"[Modification of Bodleian, G.Pamph.2589]",10.0
"[Modification of Bodleian, MS. e Mus. 65]",10.0
"[Modification of Bodleian, Ms. Clas. Dep. C.43]",10.0
"[Modification of Bodleian, 8vo S 188 Art]",10.0
"[Removal from Bodleian, G.Pamph.1670]",9.0
"[Addition to Bodleian, G.Pamph.2376]",9.0
"[Modification of Bodleian, Vet.Al.d.39]",9.0
"[Modification of Bodleian, 23197 d1]",9.0
"[Modification of Bodleian, Ms.Douce.88]",9.0
"[Addition to Bodleian, C 8 22 Line?]",9.0
"[Modification of Bodleian, 23197 d1]",9.0
"[Modification of Bodleian, Ms.Douce.88]",9.0
"[Modification of Bodleian, Ms.BOM.187]",9.0
"[Removal from Bodleian, Ms. Clas. Dep. C.43]",9.0
"[Modification of Bodleian, Bliss B4]",9.0
"[Modification of Bodleian, Vet.256e.15182]",8.0
"[Modification of Bodleian, 23197 d1]",8.0
"[Modification of Bodleian, Ms. Auct. D.4.17]",8.0
"[Addition to Bodleian, Inc.d.f2.1494.2]",8.0
"[Modification of Bodleian, Ms. Auct. D.4.17]",8.0
"[Modification of Bodleian, G.Pamph.2589]",8.0
"[Removal from Bodleian, Ms.BOM.187]",8.0
"[Modification of Bodleian, Ms Digby 44]",8.0
"[Modification of Bodleian, 8vo S 188 Art]",8.0
