name,score
"[Left board (Bodleian, 23197 d1)]",53.42857142857143
"[Textblock (Bodleian, G.Pamph.1670)]",53.375
"[Sewing structure (Bodleian, Arch A f 134)]",53.03333333333334
"[Textblock (Bodleian, 6062)]",52.0
"[Textblock (Bodleian, Ms Digby 44)]",51.99999999999999
"[Right board (Bodleian, C 8 22 Line?)]",51.16666666666667
"[Right board (Bodleian, 23197 d1)]",50.42857142857143
"[Right board (Bodleian, Vet.Al.d.39)]",49.83333333333332
"[Outer joints (Bodleian, G.Pamph.1670)]",49.5
"[Bookblock (Bodleian, Ms. Auct. F.1.14)]",48.416666666666664
"[Modification of Bodleian, MS. e Mus. 65]",46.852777777777774
"[Right-section (Bodleian, Inc.d.f2.1494.2)]",46.0
"[Tail endband (Bodleian, AA 106 Art)]",45.833333333333336
"[Head endband (Bodleian, AA 106 Art)]",45.833333333333336
"[Spine lining (Bodleian, C 8 22 Line?)]",45.833333333333336
"[Bookblock (Bodleian, G.Pamph.2589)]",45.66666666666667
"[Covering material (Bodleian, Arch A f 134)]",45.5
"[Textblock (Bodleian, AA 106 Art)]",45.33333333333334
"[Sewing structure (Bodleian, 6062)]",45.0
"[Spine-section (Bodleian, Ms.BOM.187)]",44.83333333333333
"[Sewing structure (Bodleian, Dance E 44)]",44.33333333333333
"[Bookblock (Bodleian, G.Pamph.2376)]",43.83333333333333
"[Modification of Bodleian, MS. e Mus. 65]",42.986111111111114
"[Spine-section (Bodleian, Vet.Al.d.39)]",42.833333333333336
"[Bookblock (Bodleian, Dance E 44)]",42.78333333333333
"[Left endleaves (Bodleian, Ms. Auct. D.4.17)]",42.5
"[Right endleaves (Bodleian, Ms. Auct. D.4.17)]",42.5
[leather dressing],42.0
"[Spine-section (Bodleian, G.Pamph.2589)]",41.45
"[Spine lining (Bodleian, Vet.Al.d.39)]",41.42857142857143
"[Spine lining (Bodleian, 6062)]",41.38928571428571
"[Textblock (Bodleian, Bliss B4)]",41.0
"[Right-section (Bodleian, Arch A f 134)]",41.0
"[Textblock (Bodleian, Arch.B.c.4)]",41.0
"[Left-section (Bodleian, Arch A f 134)]",41.0
"[Left-section (Bodleian, 23197 d1)]",40.166666666666664
"[Right endleaves (Bodleian, Ms Digby 44)]",40.0
"[Textblock (Bodleian, 8vo S 188 Art)]",40.0
"[Textblock (Bodleian, MS. e Mus. 65)]",40.0
"[Right-section (Bodleian, 23197 d1)]",39.99999999999999
"[Covering material (Bodleian, Ms Digby 44)]",39.000000000000014
"[Sewing supports (Bodleian, 8vo S 188 Art)]",38.999999999999986
"[Sewing supports (Bodleian, 8vo S 188 Art)]",38.999999999999986
"[Sewing supports (Bodleian, 8vo S 188 Art)]",38.999999999999986
"[Cover (Bodleian, 8vo S 188 Art)]",38.0
"[Cover (Bodleian, Dance E 44)]",37.9
"[Cover (Bodleian, Bliss B4)]",37.4
"[Spine lining (Bodleian, Arch.B.c.4)]",37.06666666666666
"[Cover (Bodleian, G.Pamph.2376)]",37.0
"[Spine lining (Bodleian, G.Pamph.1670)]",37.0
"[Splitting (Bodleian, G.Pamph.1670)]",36.0
"[Right endleaves (Bodleian, C 8 22 Line?)]",35.083333333333336
"[Left endleaves (Bodleian, C 8 22 Line?)]",35.083333333333336
[Solution],34.0
"[Sewing supports (Bodleian, Inc.d.f2.1494.2)]",34.0
[Solution],34.0
"[Cover (Bodleian, 6062)]",33.6
null,33.454545454545446
"[Sewing production (Bodleian, Vet.Al.d.39)]",33.0
"[Spine lining (Bodleian, Ms. Clas. Dep. C.43)]",32.83333333333333
"[Right board (Bodleian, Ms Digby 44)]",31.5
"[Right board (Bodleian, Ms.Add.A.105)]",31.5
"[Corner plates (Bodleian, Inc.d.f2.1494.2)]",31.0
"[Modification of Bodleian, Vet.Al.d.39]",30.83333333333335
"[Modification of Bodleian, Vet.Al.d.39]",30.83333333333335
"[Spine-section (Bodleian, Vet.256e.15182)]",30.749999999999996
"[Covering material (Bodleian, Arch.B.c.4)]",30.333333333333343
"[Left board (Bodleian, 6062)]",30.166666666666668
"[Right board (Bodleian, 6062)]",30.166666666666664
"[Sewing supports (Bodleian, G.Pamph.2589)]",29.999999999999993
"[Sewing supports (Bodleian, G.Pamph.2589)]",29.999999999999993
"[Sewing supports (Bodleian, G.Pamph.2589)]",29.999999999999993
"[Modification of Bodleian, Ms. Auct. D.4.17]",29.116666666666685
"[Modification of Bodleian, Ms. Auct. D.4.17]",29.116666666666685
"[Previous repairs-place (Bodleian, C 8 22 Line?)]",28.785714285714285
"[Left endleaves (Bodleian, 8vo S 188 Art)]",28.5
"[Right endleaves (Bodleian, 8vo S 188 Art)]",28.5
"[Left board (Bodleian, Ms. Auct. F.1.14)]",28.333333333333336
"[Spine-section (Bodleian, 23197 d1)]",28.0
"[Removal from Bodleian, Arch.F.b.3]",27.666666666666664
"[Inner joints (Bodleian, G.Pamph.1670)]",27.5
"[Left board (Bodleian, Vet.256e.15182)]",27.3
"[Spine lining (Bodleian, Vet.256e.15182)]",27.166666666666668
"[Right board (Bodleian, Vet.256e.15182)]",27.166666666666668
"[Sewing supports (Bodleian, Ms Digby 44)]",27.0
"[Sewing supports (Bodleian, Ms Digby 44)]",27.0
"[Sewing supports (Bodleian, Ms Digby 44)]",27.0
"[Sewing supports (Bodleian, Ms Digby 44)]",27.0
"[Modification of Bodleian, Ms. Auct. D.4.17]",27.0
"[Adhesive layer, spine (Bodleian, Ms.BOM.187)]",26.5
"[Sewing supports (Bodleian, Arch.B.c.4)]",26.499999999999993
"[Spine-section (Bodleian, Arch A f 134)]",26.166666666666664
"[Right-section (Bodleian, C 8 22 Line?)]",26.142857142857142
"[Left-section (Bodleian, C 8 22 Line?)]",26.142857142857142
"[Tail endband (Bodleian, Ms.BOM.187)]",25.91666666666666
"[Head endband (Bodleian, Ms.BOM.187)]",25.91666666666666
"[Core (endband) (Bodleian, Arch.B.c.4)]",25.5
"[Core (endband) (Bodleian, MS. e Mus. 65)]",25.5
"[Core (endband) (Bodleian, MS. e Mus. 65)]",25.5
"[Core (endband) (Bodleian, Arch.B.c.4)]",25.5
"[Sewing supports (Bodleian, Vet.256e.15182)]",25.200000000000003
"[Sewing supports (Bodleian, Vet.256e.15182)]",25.200000000000003
"[Sewing supports (Bodleian, Vet.256e.15182)]",25.200000000000003
"[Sewing supports (Bodleian, Vet.256e.15182)]",25.200000000000003
"[Sewing supports (Bodleian, Vet.256e.15182)]",25.200000000000003
"[Spine lining (Bodleian, Ms.Douce.88)]",25.200000000000003
"[Spine lining (Bodleian, Ms.Douce.88)]",25.200000000000003
"[Bosses (Bodleian, Inc.d.f2.1494.2)]",25.0
"[Left board (Bodleian, Vet.Al.d.39)]",25.0
"[Modification of Bodleian, 6062]",24.666666666666668
"[Tail endband (Bodleian, 8vo S 188 Art)]",24.5
"[Head endband (Bodleian, 8vo S 188 Art)]",24.5
"[Modification of Bodleian, Ms.Add.A.105]",24.0
"[Textblock (Bodleian, Ms. Clas. Dep. C.43)]",24.0
"[Spine-section (Bodleian, C 8 22 Line?)]",23.80952380952381
"[Head endband (Bodleian, C 8 22 Line?)]",23.500000000000004
"[Tail endband (Bodleian, C 8 22 Line?)]",23.5
"[Modification of Bodleian, Inc.d.f2.1494.2]",23.124999999999996
[Solution],23.083333333333336
[Solution],23.083333333333336
"[Left board (Bodleian, Bliss B4)]",22.6
"[Previous repairs (Bodleian, Ms.BOM.187)]",22.5
"[Previous repairs (Bodleian, Vet.Al.d.39)]",22.5
"[Caps (Bodleian, Arch.F.b.3)]",22.5
"[Right board (Bodleian, G.Pamph.2589)]",22.47142857142857
"[Modification of Bodleian, Arch.F.b.3]",22.333333333333336
"[Insect damage (Bodleian, Arch.B.c.4)]",22.25
"[Modification of Bodleian, 23197 d1]",22.035714285714285
"[Right board (Bodleian, Ms.Douce.88)]",22.0
"[Left board (Bodleian, Ms.Douce.88)]",22.0
"[Right board (Bodleian, G.Pamph.1670)]",21.95238095238095
[Solution],21.833333333333332
[Solution],21.833333333333332
[Solution],21.833333333333332
"[Sewing supports (Bodleian, 23197 d1)]",21.6
"[Sewing supports (Bodleian, 23197 d1)]",21.6
"[Sewing supports (Bodleian, 23197 d1)]",21.6
"[Sewing supports (Bodleian, 23197 d1)]",21.6
"[Sewing supports (Bodleian, 23197 d1)]",21.6
