name,score
"[Sewing structure (The National Archives, ADM 1/2628)]",29.5
"[Right board (The National Archives, E 405/550)]",28.0
"[Right board (The National Archives, ADM 42/681)]",28.0
"[Right board (The National Archives, ASSI 41/4)]",28.0
"[Left board (The National Archives, DL 30/603/2)]",28.0
"[Left board (The National Archives, CO 473/9)]",28.0
"[Left board (The National Archives, T 20/1220)]",28.0
"[Left board (The National Archives, PC 6/15)]",28.0
"[Right board (The National Archives, LC 5/156)]",28.0
"[Left board (The National Archives, SP 91/14)]",28.0
"[Right board (The National Archives, DL 30/603/2)]",28.0
"[Left board (The National Archives, LC 5/156)]",28.0
"[Right board (The National Archives, CO 299/89)]",28.0
"[Right board (The National Archives, CRES 40/25A)]",28.0
"[Right board (The National Archives, E 315/128)]",28.0
"[Left board (The National Archives, WO 381/11)]",28.0
"[Right board (The National Archives, RAIL 527/1429)]",28.0
"[Left board (The National Archives, PRO 30/69/1186)]",28.0
"[Right board (The National Archives, FO 97/341)]",28.0
"[Left board (The National Archives, RAIL 527/1429)]",28.0
"[Left board (The National Archives, E 36/29)]",28.0
"[Right board (The National Archives, B 3/5243)]",28.0
"[Left board (The National Archives, ADM 223/31)]",28.0
"[Right board (The National Archives, ADM 139/1027)]",28.0
"[Left board (The National Archives, HCA 13/78)]",28.0
"[Right board (The National Archives, HCA 13/78)]",28.0
"[Left board (The National Archives, E 315/128)]",28.0
"[Right board (The National Archives, ADM 1/5437)]",28.0
"[Right board (The National Archives, E 36/29)]",28.0
"[Right board (The National Archives, SP 91/14)]",28.0
"[Left board (The National Archives, CO 299/89)]",28.0
"[Right board (The National Archives, WO 381/11)]",28.0
"[Right board (The National Archives, ADM 223/31)]",28.0
"[Left board (The National Archives, ADM 42/681)]",28.0
"[Right board (The National Archives, CO 473/9)]",28.0
"[Right board (The National Archives, T 20/1220)]",28.0
"[Left board (The National Archives, E 405/550)]",28.0
"[Left board (The National Archives, B 3/5243)]",28.0
"[Left board (The National Archives, SP 71/19)]",28.0
"[Left board (The National Archives, HCA 13/56)]",28.0
"[Left board (The National Archives, ASSI 41/4)]",28.0
"[Right board (The National Archives, PC 6/15)]",28.0
"[Left board (The National Archives, ADM 1/5437)]",28.0
"[Left board (The National Archives, FO 97/341)]",28.0
"[Left board (The National Archives, ADM 139/1027)]",28.0
"[Right board (The National Archives, HCA 13/56)]",28.0
"[Right board (The National Archives, SP 71/19)]",28.0
"[Left board (The National Archives, CRES 40/25A)]",28.0
"[Right board (The National Archives, PRO 30/69/1186)]",28.0
"[Textblock (The National Archives, DL 30/603/2)]",27.0
"[Textblock (The National Archives, HCA 13/78)]",27.0
"[Textblock (The National Archives, SP 71/19)]",27.0
"[Cover (The National Archives, FO 802/614)]",26.0
"[Cover (The National Archives, ADM 42/681)]",25.3
"[Cover (The National Archives, E 36/29)]",25.25
"[Sewing structure (The National Archives, SP 105/207)]",25.0
"[Sewing structure (The National Archives, CO 299/89)]",25.0
"[Sewing structure (The National Archives, SP 71/19)]",25.0
"[Sewing structure (The National Archives, ADM 55/32)]",25.0
"[Sewing structure (The National Archives, ADM 139/1023)]",25.0
"[Sewing structure (The National Archives, CRIM 10/28)]",25.0
"[Sewing structure (The National Archives, SP 104/171)]",25.0
"[Sewing structure (The National Archives, E 405/550)]",25.0
"[Sewing structure (The National Archives, WO 381/11)]",25.0
"[Sewing structure (The National Archives, ADM 139/1025)]",25.0
"[Cover (The National Archives, PC 6/15)]",24.799999999999997
"[Textblock (The National Archives, T 20/1220)]",24.0
"[Textblock (The National Archives, ADM 37/5039)]",24.0
"[Sewing structure (The National Archives, SP 91/14)]",23.75
"[Sewing structure (The National Archives, HCA 13/78)]",23.0
"[Spine-section (The National Archives, FO 97/341)]",23.0
"[Covering material (The National Archives, ADM 37/5039)]",22.5
