name,incomingEdges
"[Spine lining (The National Archives, RAIL 950/17)]",2.0
"[Spine lining (The National Archives, PC 6/15)]",2.0
"[Spine lining (The National Archives, HCA 13/78)]",2.0
"[Spine lining (The National Archives, CRIM 10/28)]",2.0
"[Spine lining (The National Archives, ADM 37/5039)]",2.0
"[Spine lining (The National Archives, ADM 223/31)]",2.0
"[Sewing supports (The National Archives, WO 69/905)]",2.0
"[Sewing supports (The National Archives, SP 91/14)]",2.0
"[Sewing supports (The National Archives, SP 44/335)]",2.0
"[Sewing supports (The National Archives, SP 24/18)]",2.0
"[Sewing supports (The National Archives, PRO 30/69/1186)]",2.0
"[Sewing supports (The National Archives, LC 5/156)]",2.0
"[Sewing supports (The National Archives, CO 5/904)]",2.0
"[Sewing supports (The National Archives, CO 31/1)]",2.0
"[Sewing supports (The National Archives, ASSI 41/4)]",2.0
"[Sewing supports (The National Archives, ADM 139/1027)]",2.0
"[Sewing supports (The National Archives, ADM 1/5438)]",2.0
"[Sewing supports (The National Archives, ADM 1/5437)]",2.0
"[Sewing supports (The National Archives, ADM 1/2628)]",2.0
"[Sewing structure (The National Archives, SP 44/335)]",2.0
"[Sewing structure (The National Archives, SP 24/18)]",2.0
"[Sewing structure (The National Archives, SP 104/143)]",2.0
"[Sewing structure (The National Archives, RAIL 950/17)]",2.0
"[Sewing structure (The National Archives, RAIL 527/1429)]",2.0
"[Sewing structure (The National Archives, PRO 30/69/1186)]",2.0
"[Sewing structure (The National Archives, PC 6/15)]",2.0
"[Sewing structure (The National Archives, HCA 13/56)]",2.0
"[Sewing structure (The National Archives, FO 97/341)]",2.0
"[Sewing structure (The National Archives, FO 802/614)]",2.0
"[Sewing structure (The National Archives, FO 802/607)]",2.0
"[Sewing structure (The National Archives, E 36/29)]",2.0
"[Sewing structure (The National Archives, E 36/2)]",2.0
"[Sewing structure (The National Archives, E 315/128)]",2.0
"[Sewing structure (The National Archives, CRES 40/25A)]",2.0
"[Sewing structure (The National Archives, CO 473/9)]",2.0
"[Sewing structure (The National Archives, ADM 55/24)]",2.0
"[Sewing structure (The National Archives, ADM 223/31)]",2.0
"[Right endleaves (The National Archives, T 20/1220)]",2.0
"[Right endleaves (The National Archives, SP 44/335)]",2.0
"[Right endleaves (The National Archives, SP 104/171)]",2.0
"[Right endleaves (The National Archives, PRO 30/69/1186)]",2.0
"[Right endleaves (The National Archives, E 36/29)]",2.0
"[Right endleaves (The National Archives, DL 30/603/2)]",2.0
"[Right endleaves (The National Archives, CRIM 10/28)]",2.0
"[Right endleaves (The National Archives, CO 5/904)]",2.0
"[Right endleaves (The National Archives, ASSI 41/4)]",2.0
"[Right endleaves (The National Archives, ADM 37/5039)]",2.0
"[Right endleaves (The National Archives, ADM 139/1027)]",2.0
